element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-35-ec0100a513e0e73a,A-004_poverty_rate_extreme_intl,VNM,1993,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),35,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-36-22bfda9ea332959d,A-004_poverty_rate_extreme_intl,VNM,1994,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),36,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-37-78a9bd2feaa747b4,A-004_poverty_rate_extreme_intl,VNM,1995,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),37,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-38-7574cff339e63b5b,A-004_poverty_rate_extreme_intl,VNM,1996,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),38,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-39-c063fa4e45b934b3,A-004_poverty_rate_extreme_intl,VNM,1997,38.1,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),39,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-40-1639c21a681c97c3,A-004_poverty_rate_extreme_intl,VNM,1998,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),40,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-41-fb0dbbec5c6092b0,A-004_poverty_rate_extreme_intl,VNM,1999,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),41,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-42-3c87688ef58224bf,A-004_poverty_rate_extreme_intl,VNM,2000,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),42,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-43-6d8ffe15682f0d3e,A-004_poverty_rate_extreme_intl,VNM,2001,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),43,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-44-9828edb098f9b177,A-004_poverty_rate_extreme_intl,VNM,2002,43.3,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),44,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-45-f7f1ffcd84de8836,A-004_poverty_rate_extreme_intl,VNM,2003,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),45,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-46-e8381d93fa21299c,A-004_poverty_rate_extreme_intl,VNM,2004,30.9,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),46,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-47-afeeebe3a4f3bb73,A-004_poverty_rate_extreme_intl,VNM,2005,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),47,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-48-9bcfd03dfb7abb22,A-004_poverty_rate_extreme_intl,VNM,2006,23.7,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),48,
